=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.03.10 14:20:57 =~=~=~=~=~=~=~=~=~=~=~=
Current Roll is:	5.727675 degrees
Current Pitch is:	5.313581 degrees
Current Roll is:	5.759762 degrees
Current Pitch is:	5.335913 degrees
Current Roll is:	5.763999 degrees
Current Pitch is:	5.356706 degrees
Current Roll is:	5.720638 degrees
Current Pitch is:	5.376053 degrees
Current Roll is:	5.702245 degrees
Current Pitch is:	5.396693 degrees
Current Roll is:	5.699031 degrees
Current Pitch is:	5.414405 degrees
Current Roll is:	5.690938 degrees
Current Pitch is:	5.432500 degrees
Current Roll is:	5.699677 degrees
Current Pitch is:	5.453875 degrees
Current Roll is:	5.691443 degrees
Current Pitch is:	5.473374 degrees
Current Roll is:	5.728483 degrees
Current Pitch is:	5.489010 degrees
Current Roll is:	5.844566 degrees
Current Pitch is:	5.510001 degrees
Current Roll is:	6.053757 degrees
Current Pitch is:	5.526442 degrees
Current Roll is:	6.142491 degrees
Current Pitch is:	5.534589 degrees
Current Roll is:	6.301237 degrees
Current Pitch is:	5.538006 degrees
Current Roll is:	6.492202 degrees
Current Pitch is:	5.559577 degrees
Current Roll is:	6.640813 degrees
Current Pitch is:	5.577868 degrees
Current Roll is:	6.692089 degrees
Current Pitch is:	5.602018 degrees
Current Roll is:	6.730153 degrees
Current Pitch is:	5.620112 degrees
Current Roll is:	6.789448 degrees
Current Pitch is:	5.636529 degrees
Current Roll is:	6.800530 degrees
Current Pitch is:	5.655576 degrees
Current Roll is:	6.731560 degrees
Current Pitch is:	5.675406 degrees
Current Roll is:	6.668541 degrees
Current Pitch is:	5.693702 degrees
Current Roll is:	6.657652 degrees
Current Pitch is:	5.710467 degrees
Current Roll is:	6.705098 degrees
Current Pitch is:	5.731488 degrees
Current Roll is:	6.700612 degrees
Current Pitch is:	5.747113 degrees
Current Roll is:	6.671814 degrees
Current Pitch is:	5.763761 degrees
Current Roll is:	6.641100 degrees
Current Pitch is:	5.780677 degrees
Current Roll is:	6.634355 degrees
Current Pitch is:	5.799967 degrees
Current Roll is:	6.619957 degrees
Current Pitch is:	5.819826 degrees
Current Roll is:	6.611599 degrees
Current Pitch is:	5.838958 degrees
Current Roll is:	6.597180 degrees
Current Pitch is:	5.858562 degrees
Current Roll is:	6.579344 degrees
Current Pitch is:	5.877823 degrees
Current Roll is:	6.571414 degrees
Current Pitch is:	5.897343 degrees
Current Roll is:	6.561010 degrees
Current Pitch is:	5.918675 degrees
Current Roll is:	6.547761 degrees
Current Pitch is:	5.936502 degrees
Current Roll is:	6.523586 degrees
Current Pitch is:	5.956926 degrees
Current Roll is:	6.507991 degrees
Current Pitch is:	5.972597 degrees
Current Roll is:	6.502153 degrees
Current Pitch is:	5.991981 degrees
Current Roll is:	6.519810 degrees
Current Pitch is:	6.011857 degrees
Current Roll is:	6.533437 degrees
Current Pitch is:	6.031489 degrees
Current Roll is:	6.538777 degrees
Current Pitch is:	6.050498 degrees
Current Roll is:	6.531644 degrees
Current Pitch is:	6.068135 degrees
Current Roll is:	6.519561 degrees
Current Pitch is:	6.087527 degrees
Current Roll is:	6.498790 degrees
Current Pitch is:	6.107523 degrees
Current Roll is:	6.490645 degrees
Current Pitch is:	6.125996 degrees
Current Roll is:	6.478721 degrees
Current Pitch is:	6.143978 degrees
Current Roll is:	6.471404 degrees
Current Pitch is:	6.163758 degrees
Current Roll is:	6.469638 degrees
Current Pitch is:	6.182701 degrees
Current Roll is:	6.461934 degrees
Current Pitch is:	6.200404 degrees
Current Roll is:	6.462088 degrees
Current Pitch is:	6.218893 degrees
Current Roll is:	6.463512 degrees
Current Pitch is:	6.238421 degrees
Current Roll is:	6.449031 degrees
Current Pitch is:	6.256934 degrees
Current Roll is:	6.435559 degrees
Current Pitch is:	6.274695 degrees
Current Roll is:	6.429896 degrees
Current Pitch is:	6.293059 degrees
Current Roll is:	6.427298 degrees
Current Pitch is:	6.311650 degrees
Current Roll is:	6.415350 degrees
Current Pitch is:	6.332211 degrees
Current Roll is:	6.392154 degrees
Current Pitch is:	6.350613 degrees
Current Roll is:	6.377876 degrees
Current Pitch is:	6.367457 degrees
Current Roll is:	6.356030 degrees
Current Pitch is:	6.387419 degrees
Current Roll is:	6.342087 degrees
Current Pitch is:	6.410335 degrees
Current Roll is:	6.320624 degrees
Current Pitch is:	6.431132 degrees
Current Roll is:	6.232445 degrees
Current Pitch is:	6.452959 degrees
Current Roll is:	6.136892 degrees
Current Pitch is:	6.488777 degrees
Current Roll is:	6.015716 degrees
Current Pitch is:	6.552658 degrees
Current Roll is:	5.844021 degrees
Current Pitch is:	6.652956 degrees
Current Roll is:	5.620097 degrees
Current Pitch is:	6.769576 degrees
Current Roll is:	5.351902 degrees
Current Pitch is:	6.905923 degrees
Current Roll is:	5.074088 degrees
Current Pitch is:	7.017696 degrees
Current Roll is:	4.877733 degrees
Current Pitch is:	7.257299 degrees
Current Roll is:	4.516473 degrees
Current Pitch is:	7.460989 degrees
Current Roll is:	4.220306 degrees
Current Pitch is:	7.653558 degrees
Current Roll is:	3.933615 degrees
Current Pitch is:	8.004450 degrees
Current Roll is:	3.785741 degrees
Current Pitch is:	8.315184 degrees
Current Roll is:	3.258670 degrees
Current Pitch is:	8.569628 degrees
Current Roll is:	2.757326 degrees
Current Pitch is:	8.960824 degrees
Current Roll is:	2.186388 degrees
Current Pitch is:	9.339808 degrees
Current Roll is:	1.687137 degrees
Current Pitch is:	9.697106 degrees
